"lemma","originalCandidate","pos","candidateLevel","article","sourceCourses","courseUnits","firstChapter","sourceInflections","officialForms","officialPOS","officialHeadwordFound","zh","exampleNb","exampleZh","resolution"
"drikke","drikke","动词","A1","å","NTNU LearnNoW; NTNU NoW1; NorweigenLearn 当前词库","02P; 04A","2","drikke – drikker – drakk – drukket / drikker, drakk, har drukket","drakk · drikk · drikka · drikke · drikken · drikkende · drikkene · drikker · drikkes · drikket · drukken · drukket · drukne","VERB","True","喝","Jeg drikker kaffe.","","Ordbank 词头匹配"
"få","få","动词","A1","å","NTNU LearnNoW; NTNU NoW1; NorweigenLearn 当前词库","02M; 04C; 08A","2","få – får – fikk – fått / får, fikk, har fått","få · fående · får · fås · fått · fåtte · fikk","VERB","True","得到；有孩子","Jeg får hjelp.","","Ordbank 词头匹配"
"finne","finne","动词","A1","å","NTNU LearnNoW; NTNU NoW1; NorweigenLearn 当前词库","02M; 03A; 09A; 12D","2","finne – finner – fant – funnet / finner, fant, har funnet","fant · finn · finne · finnen · finnende · finnene · finner · finnes · funne · funnen · funnet","VERB","True","找到","Jeg finner en løsning.","","Ordbank 词头匹配"
"gå","gå","动词","A1","å","NTNU LearnNoW; NTNU NoW1; NorweigenLearn 当前词库","02A; 02D; 07B; 08A","2","gå – går – gikk – gått / går, gikk, har gått","gå · gående · går · gås · gått · gåtte · gikk","VERB","True","走、去","Jeg går til jobben.","","Ordbank 词头匹配"
"gutt","gutt","名词","A1","en","NTNU LearnNoW; NTNU NoW1; NorweigenLearn 当前词库","02B; 06A","2","en gutt · gutten · gutter · guttene / gutten, gutter, guttene","gutt · gutten · guttene · gutter","NOUN","True","男孩","Gutten leker i hagen. / To gutter venter på bussen.","男孩在花园里玩。 / 两个男孩在等公交车。","Ordbank 词头匹配"
"hjelpe","hjelpe","动词","A1","å","NTNU LearnNoW; NTNU NoW1; NorweigenLearn 当前词库","02A; 03B","2","hjelpe – hjelper – hjalp – hjulpet / hjelper, hjalp, har hjulpet","hjalp · hjelp · hjelpe · hjelpende · hjelper · hjelpes · hjulpen · hjulpet · hjulpne","VERB","True","帮助","Jeg hjelper meg.","","Ordbank 词头匹配"
"hjem","hjem","名词","A1","et","NTNU LearnNoW; NTNU NoW1; NorweigenLearn 当前词库","02D; 07B","2","et hjem · hjemmet · hjem · hjemmene / hjemmet, hjem, hjemmene","hjem · hjemma · hjemmene · hjemmet","NOUN","True","家","Jeg går hjem etter jobb.","下班后我回家。","Ordbank 词头匹配"
"kaffe","kaffe","名词","A1","en","NTNU LearnNoW; NTNU NoW1; NorweigenLearn 当前词库","02P; 04A","2","en kaffe · kaffen · kaffer · kaffene / kaffen, kaffer, kaffene","kaffe · kaffen · kaffene · kaffer","NOUN","True","咖啡","Vil du ha en kopp kaffe?","你想喝一杯咖啡吗？","Ordbank 词头匹配"
"kjøpe","kjøpe","动词","A1","å","NTNU LearnNoW; NTNU NoW1; NorweigenLearn 当前词库","02P; 03C","2","kjøpe – kjøper – kjøpte – kjøpt / kjøper, kjøpte, har kjøpt","kjøp · kjøpe · kjøpende · kjøper · kjøpes · kjøpt · kjøpte","VERB","True","买","Jeg kjøper mat.","","Ordbank 词头匹配"
"kjøre","kjøre","动词","A1","å","NTNU LearnNoW; NTNU NoW1; NorweigenLearn 当前词库","02D; 02K","2","kjøre – kjører – kjørte – kjørt / kjører, kjørte, har kjørt","kjør · kjøre · kjørende · kjører · kjøres · kjørt · kjørte","VERB","True","开车","Jeg kjører til Oslo.","","Ordbank 词头匹配"
"kopp","kopp","名词","A1","en","NTNU LearnNoW; NTNU NoW1; NorweigenLearn 当前词库","02P; 05A","2","en kopp · koppen · kopper · koppene / koppen, kopper, koppene","kopp · koppen · koppene · kopper","NOUN","True","杯子；一杯","Vil du ha en kopp te? / Koppene står i skapet.","你想喝一杯茶吗？ / 杯子在柜子里。","Ordbank 词头匹配"
"år","år","名词","A1","et","NTNU LearnNoW; NorweigenLearn 当前词库","02A","2","året, år, årene / et år · året · år · årene","år · åra · årene · året","NOUN","True","年","Jeg har bodd her i fem år.","我在这里住了五年。","Ordbank 词头匹配"
"gammel","gammel","形容词","A1","","NTNU LearnNoW; NorweigenLearn 当前词库","02A","2","gammel · gammelt · gamle · eldre · eldst / gammelt, gamle","eldre · eldst · eldste · gamle · gammel · gammelt","ADJ","True","旧的；年老的","Jeg bor i et gammelt hus. / Han er eldre enn broren sin.","我住在一栋老房子里。 / 他比自己的兄弟年长。","Ordbank 词头匹配"
"mann","mann","名词","A1","en","NTNU LearnNoW; NorweigenLearn 当前词库","02C","2","en mann · mannen · menn · mennene / mannen, menn, mennene","mann · mannen · menn · mennene","NOUN","True","男人；丈夫","En mann venter på bussen.","一个男人在等公交车。","Ordbank 词头匹配"
"reise","reise","动词","A1","å","NTNU LearnNoW; NorweigenLearn 当前词库","02A","2","reise – reiser – reiste – reist / reiser, reiste, har reist","reis · reisa · reise · reisen · reisende · reisene · reiser · reises · reist · reiste","VERB","True","旅行、出行","Jeg reiser til Sverige.","","Ordbank 词头匹配"
"sammen","sammen","副词","A1","","NTNU LearnNoW; NorweigenLearn 当前词库","02A","2","sammen","sammen","ADV","True","一起；共同","Vi spiser middag sammen. / Hun bor sammen med familien sin.","我们一起吃晚饭。 / 她和家人住在一起。","Ordbank 词头匹配"
"se","se","动词","A1","å","NTNU LearnNoW; NorweigenLearn 当前词库","02D; 09B; 12C","2","se – ser – så – sett / ser, så, har sett","så · se · seende · sees · ser · ses · sett · sette","VERB","True","看、看见","Jeg ser filmen.","","Ordbank 词头匹配"
"sitte","sitte","动词","A1","å","NTNU LearnNoW; NorweigenLearn 当前词库","02B; 12C","2","sitte – sitter – satt – sittet / sitter, satt, har sittet","satt · sitne · sitt · sitte · sitten · sittende · sitter · sittes · sittet","VERB","True","坐","Jeg sitter på en kafé.","","Ordbank 词头匹配"
"snakke","snakke","动词","A1","å","NTNU LearnNoW; NorweigenLearn 当前词库","02A; 07D","2","snakke – snakker – snakket – snakket / snakker, snakket, har snakket","snakk · snakka · snakke · snakkede · snakkende · snakker · snakkes · snakket · snakkete","VERB","True","说话、交谈","Jeg snakker med naboen.","","Ordbank 词头匹配"
"stå","stå","动词","A1","å","NTNU LearnNoW; NorweigenLearn 当前词库","02D","2","stå – står – sto – stått / står, sto, har stått","stå · ståen · stående · ståene · ståer · står · stås · stått · ståtte · sto · stod","VERB","True","站；放置","Jeg står utenfor.","","Ordbank 词头匹配"
"ta","ta","动词","A1","å","NTNU LearnNoW; NorweigenLearn 当前词库","02D; 10C","2","ta – tar – tok – tatt / tar, tok, har tatt","ta · takende · tar · tas · tatt · tatte · tok","VERB","True","拿；乘坐","Jeg tar bussen.","","Ordbank 词头匹配"
"trøtt","trøtt","形容词","A1","","NTNU LearnNoW; NorweigenLearn 当前词库","02D","2","trøtt · trøtt · trøtte · trøttere · trøttest / trøtt, trøtte","trøtt · trøtte · trøttere · trøttest · trøtteste","ADJ","True","累的；困倦的","Jeg er trøtt etter jobb. / Barna er trøtte i kveld.","我下班后很累。 / 孩子们今晚很困。","Ordbank 词头匹配"
"vente","vente","动词","A1","å","NTNU LearnNoW; NorweigenLearn 当前词库","02A","2","vente – venter – ventet – ventet / venter, ventet, har ventet","vent · venta · vente · ventede · ventende · venter · ventes · ventet · ventete","VERB","True","等待","Jeg venter på bussen.","","Ordbank 词头匹配"
"bad","bad","名词","A1","et","NTNU LearnNoW; NTNU NoW1; NorweigenLearn 当前词库","03C; 03P","3","badet, bad, badene / et bad · badet · bad · badene","bad · bada · badene · badet","NOUN","True","浴室；洗澡","Badet ligger ved siden av soverommet. / Barnet liker å ta et bad.","浴室在卧室旁边。 / 孩子喜欢洗澡。","Ordbank 词头匹配"
"bord","bord","名词","A1","et","NTNU LearnNoW; NTNU NoW1; NorweigenLearn 当前词库","03A; 03K","3","bordet, bord, bordene / et bord · bordet · bord · bordene","bord · borda · borden · bordene · border · bordet","NOUN","True","桌子","Boka ligger på bordet.","书在桌子上。","Ordbank 词头匹配"
"brød","brød","名词","A1","et","NTNU LearnNoW; NTNU NoW1; NorweigenLearn 当前词库","03P; 05A","3","brødet, brød, brødene / et brød · brødet · brød · brødene","brød · brøda · brødene · brødet","NOUN","True","面包","Jeg kjøper brød på butikken.","我在商店买面包。","Ordbank 词头匹配"
"dør","dør","名词","A1","ei","NTNU LearnNoW; NTNU NoW1; NorweigenLearn 当前词库","03A; 03D","3","døra, dører, dørene / ei dør · døra · dører · dørene","dør · døra · døren · dørene · dører","NOUN","True","门","Lukk døra, takk.","请把门关上。","Ordbank 词头匹配"
"far","far","名词","A1","en","NTNU LearnNoW; NTNU NoW1; NorweigenLearn 当前词库","03A; 10B","3","en far · faren · fedre · fedrene / faren, fedre, fedrene","far · fara · faren · farene · faret · fedre · fedrene","NOUN","True","爸爸","Faren min jobber i Oslo.","我爸爸在奥斯陆工作。","Ordbank 词头匹配"
"frokost","frokost","名词","A1","en","NTNU LearnNoW; NTNU NoW1; NorweigenLearn 当前词库","03A; 03P","3","en frokost · frokosten · frokoster · frokostene / frokosten, frokoster, frokostene","frokost · frokosten · frokostene · frokoster","NOUN","True","早餐","Vi spiser frokost klokka sju.","我们七点吃早餐。","Ordbank 词头匹配"
"hus","hus","名词","A1","et","NTNU LearnNoW; NTNU NoW1; NorweigenLearn 当前词库","03B; 06M","3","et hus · huset · hus · husene / huset, hus, husene","hus · husa · husene · huset","NOUN","True","房子","De bor i et stort hus.","他们住在一栋大房子里。","Ordbank 词头匹配"
"jakke","jakke","名词","A1","ei","NTNU LearnNoW; NTNU NoW1; NorweigenLearn 当前词库","03D; 04A","3","ei jakke · jakka · jakker · jakkene / jakka, jakker, jakkene","jakka · jakke · jakken · jakkene · jakker","NOUN","True","外套；夹克","Ta på deg jakka, det er kaldt ute. / Jeg trenger ei varm jakke.","穿上外套，外面很冷。 / 我需要一件暖和的外套。","Ordbank 词头匹配"
"kjøkken","kjøkken","名词","A1","et","NTNU LearnNoW; NTNU NoW1; NorweigenLearn 当前词库","03A; 03C","3","et kjøkken · kjøkkenet · kjøkken · kjøkkenene / kjøkkenet, kjøkken, kjøkkenene","kjøkken · kjøkkena · kjøkkenene · kjøkkener · kjøkkenet","NOUN","True","厨房","Kjøkkenet er lite.","厨房很小。","Ordbank 词头匹配"
"kjøleskap","kjøleskap","名词","A1","et","NTNU LearnNoW; NTNU NoW1; NorweigenLearn 当前词库","03C; 03P","3","et kjøleskap · kjøleskapet · kjøleskap · kjøleskapene / kjøleskapet, kjøleskap, kjøleskapene","kjøleskap · kjøleskapa · kjøleskapene · kjøleskapet","NOUN","True","冰箱","Melka står i kjøleskapet. / Vi trenger et nytt kjøleskap.","牛奶在冰箱里。 / 我们需要一台新冰箱。","Ordbank 词头匹配"
"kveld","kveld","名词","A1","en","NTNU LearnNoW; NorweigenLearn 当前词库","03D","3","en kveld · kvelden · kvelder · kveldene / kvelden, kvelder, kveldene","kveld · kvelden · kveldene · kvelder","NOUN","True","晚上","Vi leser om kvelden.","我们晚上读书。","Ordbank 词头匹配"
"leilighet","leilighet","名词","A1","en","NTNU LearnNoW; NorweigenLearn 当前词库","03C","3","en leilighet · leiligheten · leiligheter · leilighetene / leiligheten, leiligheter, leilighetene","leilighet · leiligheta · leiligheten · leilighetene · leiligheter","NOUN","True","公寓","Vi har ei lita leilighet.","我们有一套小公寓。","Ordbank 词头匹配"
"ligge","ligge","动词","A1","å","NTNU LearnNoW; NorweigenLearn 当前词库","03A","3","ligge – ligger – lå – ligget / ligger, lå, har ligget","lå · ligg · ligge · liggen · liggende · ligger · ligges · ligget · ligne","VERB","True","躺；位于","Jeg ligger i Norge.","","Ordbank 词头匹配"
"like","like","动词","A1","å","NTNU LearnNoW; NorweigenLearn 当前词库","03C","3","like – liker – likte – likt / liker, likte, har likt","lik · like · liken · likende · likene · liker · likes · likt · likte","VERB","True","喜欢","Jeg liker å lære norsk.","","Ordbank 词头匹配"
"morgen","morgen","名词","A1","en","NTNU LearnNoW; NorweigenLearn 当前词库","03A","3","en morgen · morgenen · morgener · morgenene / morgenen, morgener, morgenene","morgen · morgenen · morgenene · morgener · morgnene · morgner","NOUN","True","早晨","Om morgenen drikker jeg kaffe.","早晨我喝咖啡。","Ordbank 词头匹配"
"møte","møte","动词","A1","å","NTNU LearnNoW; NorweigenLearn 当前词库","03B","3","møte – møter – møtte – møtt / møter, møtte, har møtt","møt · møta · møte · møtende · møtene · møter · møtes · møtet · møtt · møtte","VERB","True","遇见、会见","Jeg møter læreren.","","Ordbank 词头匹配"
"nabo","nabo","名词","A1","en","NTNU LearnNoW; NorweigenLearn 当前词库","03B","3","en nabo · naboen · naboer · naboene / naboen, naboer, naboene","nabo · naboen · naboene · naboer","NOUN","True","邻居","Jeg snakker norsk med naboen. / Naboene våre er hyggelige.","我和邻居说挪威语。 / 我们的邻居们很友好。","Ordbank 词头匹配"
"rom","rom","名词","A1","et","NTNU LearnNoW; NorweigenLearn 当前词库","03D","3","et rom · rommet · rom · rommene / rommet, rom, rommene","rom · romen · romene · romer · romma · romme · rommen · rommene · rommer · rommere · rommest · rommeste · rommet · romt","NOUN","True","房间","Barnet er på rommet sitt.","孩子在自己的房间里。","Ordbank 词头匹配"
"seng","seng","名词","A1","ei","NTNU LearnNoW; NorweigenLearn 当前词库","03D","3","ei seng · senga · senger · sengene / senga, senger, sengene","seng · senga · sengen · sengene · senger","NOUN","True","床","Senga står på soverommet.","床在卧室里。","Ordbank 词头匹配"
"sko","sko","名词","A1","en","NTNU LearnNoW; NorweigenLearn 当前词库","03D","3","en sko · skoen · sko · skoene / skoen, sko, skoene","sko · skoa · skodd · skodde · skoen · skoende · skoene · skor · skos","NOUN","True","鞋；一只鞋","Hvor er skoene mine? / Han har kjøpt nye sko.","我的鞋在哪里？ / 他买了新鞋。","Ordbank 词头匹配"
"spise","spise","动词","A1","å","NTNU LearnNoW; NorweigenLearn 当前词库","03A; 07A","3","spise – spiser – spiste – spist / spiser, spiste, har spist","spis · spise · spisen · spisende · spisene · spiser · spises · spist · spiste","VERB","True","吃","Jeg spiser frokost.","","Ordbank 词头匹配"
"spørre","spørre","动词","A1","å","NTNU LearnNoW; NorweigenLearn 当前词库","03C; 07D; 08D","3","spør, spurte, har spurt / spørre – spør – spurte – spurt","spør · spørre · spørrende · spørres · spurt · spurte","VERB","True","问","Jeg spør læreren.","","Ordbank 词头匹配"
"stol","stol","名词","A1","en","NTNU LearnNoW; NorweigenLearn 当前词库","03B","3","en stol · stolen · stoler · stolene / stolen, stoler, stolene","stol · stolen · stolene · stoler","NOUN","True","椅子","Jeg sitter på en stol.","我坐在椅子上。","Ordbank 词头匹配"
"stor","stor","形容词","A1","","NTNU LearnNoW; NorweigenLearn 当前词库","03C","3","stor · stort · store · større · størst / stort, store","stor · store · større · størst · største · stort","ADJ","True","大；大的","De bor i et stort hus. / Denne bilen er større enn den gamle.","他们住在一栋大房子里。 / 这辆车比那辆旧车大。","Ordbank 词头匹配"
"telefon","telefon","名词","A1","en","NTNU LearnNoW; NorweigenLearn 当前词库","03C","3","en telefon · telefonen · telefoner · telefonene / telefonen, telefoner, telefonene","telefon · telefonen · telefonene · telefoner","NOUN","True","电话；手机","Telefonen min ligger på kjøkkenet. / Jeg ringer deg senere.","我的手机在厨房。 / 我晚些时候给你打电话。","Ordbank 词头匹配"
"vaske","vaske","动词","A1","å","NTNU LearnNoW; NorweigenLearn 当前词库","03C","3","vaske – vasker – vasket – vasket / vasker, vasket, har vasket","vask · vaska · vaske · vaskede · vaskende · vasker · vaskes · vasket · vaskete","VERB","True","洗、清洁","Jeg vasker klær.","","Ordbank 词头匹配"
"venn","venn","名词","A1","en","NTNU LearnNoW; NorweigenLearn 当前词库","03A","3","en venn · vennen · venner · vennene / vennen, venner, vennene","venn · vennen · vennene · venner","NOUN","True","朋友","Jeg snakker med en venn.","我和一个朋友聊天。","Ordbank 词头匹配"
"vindu","vindu","名词","A1","et","NTNU LearnNoW; NorweigenLearn 当前词库","03D","3","et vindu · vinduet · vinduer · vinduene / vinduet, vinduer, vinduene","vindu · vindua · vinduene · vinduer · vinduet","NOUN","True","窗户","Kan du åpne vinduet? / Leiligheten har store vinduer.","你能把窗户打开吗？ / 公寓有大窗户。","Ordbank 词头匹配"
"barn","barn","名词","A1","et","NTNU LearnNoW; NTNU NoW1; NorweigenLearn 当前词库","04B; 07A","4","barnet, barn, barna / et barn · barnet · barn · barna","barn · barna · barnene · barnet","NOUN","True","孩子","Barnet leser en bok.","孩子在读一本书。","Ordbank 词头匹配"
"begynne","begynne","动词","A1","å","NTNU LearnNoW; NTNU NoW1; NorweigenLearn 当前词库","04A; 04M","4","begynne – begynner – begynte – begynt / begynner, begynte, har begynt","begynn · begynne · begynnende · begynner · begynnes · begynt · begynte","VERB","True","开始","Jeg begynner å jobbe.","","Ordbank 词头匹配"
"butikk","butikk","名词","A1","en","NTNU LearnNoW; NTNU NoW1; NorweigenLearn 当前词库","04A","4","butikken, butikker, butikkene / en butikk · butikken · butikker · butikkene","butikk · butikken · butikkene · butikker","NOUN","True","商店","Jeg går til butikken.","我去商店。","Ordbank 词头匹配"
"eple","eple","名词","A1","et","NTNU LearnNoW; NTNU NoW1; NorweigenLearn 当前词库","04K; 05B","4","eplet, epler, eplene / et eple · eplet · epler · eplene","epla · eple · eplene · epler · eplet","NOUN","True","苹果","Barnet spiser et eple. / Eplene ligger i kjøleskapet.","孩子在吃一个苹果。 / 苹果在冰箱里。","Ordbank 词头匹配"
"forelder","forelder","名词","A1","en","NTNU LearnNoW; NTNU NoW1; NorweigenLearn 当前词库","04D; 07A","4","en forelder · forelderen · foreldre · foreldrene / forelderen, foreldre, foreldrene","forelder · forelderen · foreldra · foreldre · foreldrene","NOUN","True","父亲或母亲；家长","En forelder må signere skjemaet. / Foreldrene mine bor i Norge.","一位家长必须在表格上签字。 / 我的父母住在挪威。","Ordbank 词头匹配"
"fortelle","fortelle","动词","A1","å","NTNU LearnNoW; NTNU NoW1; NorweigenLearn 当前词库","04P; 07B","4","fortelle – forteller – fortalte – fortalt / forteller, fortalte, har fortalt","fortalt · fortalte · fortell · fortelle · fortellende · forteller · fortelles","VERB","True","告诉、讲述","Jeg forteller meg det.","","Ordbank 词头匹配"
"jobb","jobb","名词","A1","en","NTNU LearnNoW; NorweigenLearn 当前词库","04B","4","en jobb · jobben · jobber · jobbene / jobben, jobber, jobbene","jobb · jobben · jobbene · jobber","NOUN","True","工作","Jeg går på jobb om morgenen.","我早上去上班。","Ordbank 词头匹配"
"lære","lære","动词","A1","å","NTNU LearnNoW; NorweigenLearn 当前词库","04D","4","lære – lærer – lærte – lært / lærer, lærte, har lært","lær · læra · lære · læren · lærende · lærene · lærer · læres · læret · lært · lærte","VERB","True","学习","Jeg lærer norsk.","","Ordbank 词头匹配"
"lage","lage","动词","A1","å","NTNU LearnNoW; NorweigenLearn 当前词库","04B","4","lage – lager – laget – laget / lager, lagde, har lagd","lag · laga · lagd · lagde · lage · lagede · lagende · lager · lages · laget · lagete","VERB","True","做、制作","Jeg lager middag.","","Ordbank 词头匹配"
"legge","legge","动词","A1","å","NTNU LearnNoW; NorweigenLearn 当前词库","04D; 10A","4","legge – legger – la – lagt / legger, la, har lagt","la · lagt · lagte · legg · legge · leggende · legger · legges","VERB","True","放下；躺下","Jeg legger seg ned.","","Ordbank 词头匹配"
"mor","mor","名词","A1","ei","NTNU LearnNoW; NorweigenLearn 当前词库","04C","4","ei mor · mora · mødre · mødrene / mora, mødre, mødrene","mødre · mødrene · mødrer · mor · mora · moren","NOUN","True","妈妈","Mora mi lager middag.","我妈妈做晚饭。","Ordbank 词头匹配"
"vei","vei","名词","A1","en","NTNU LearnNoW; NorweigenLearn 当前词库","04C","4","en vei · veien · veier · veiene / veien, veier, veiene","vei · veien · veiene · veier","NOUN","True","道路；路；方式","Vi er på vei til legen. / Denne veien går til sentrum.","我们正在去医生那里的路上。 / 这条路通往市中心。","Ordbank 词头匹配"
"glemme","glemme","动词","A1","å","NTNU LearnNoW; NTNU NoW1; NorweigenLearn 当前词库","05M; 08D","5","glemme – glemmer – glemte – glemt / glemmer, glemte, har glemt","glem · glemme · glemmende · glemmer · glemmes · glemt · glemte","VERB","True","忘记","Jeg glemmer nøklene.","","Ordbank 词头匹配"
"alltid","alltid","副词","A1","","NTNU LearnNoW; NorweigenLearn 当前词库","05B","5","alltid","alltid","ADV","True","总是；一直","Jeg drikker alltid kaffe om morgenen. / Hun er alltid presis.","我早上总是喝咖啡。 / 她总是很准时。","Ordbank 词头匹配"
"himmel","himmel","名词","A1","en","NTNU LearnNoW; NorweigenLearn 当前词库","05B","5","en himmel · himmelen · himler · himlene / himmelen, himler, himlene","himlene · himler · himmel · himmelen","NOUN","True","天空；天；（宗教语境）天堂","Himmelen er blå i dag. / Det er en sky på himmelen.","今天天空很蓝。 / 天空中有一朵云。","Ordbank 词头匹配"
"lunsj","lunsj","名词","A1","en","NTNU LearnNoW; NorweigenLearn 当前词库","05B","5","en lunsj · lunsjen · lunsjer · lunsjene / lunsjen, lunsjer, lunsjene","lunsj · lunsjen · lunsjene · lunsjer","NOUN","True","午餐","Vi spiser lunsj klokka tolv. / Lunsjen i dag var god.","我们十二点吃午饭。 / 今天的午餐很好吃。","Ordbank 词头匹配"
"mat","mat","名词","A1","","NTNU LearnNoW; NorweigenLearn 当前词库","05A","5","mat · maten · — · — / maten (uncountable)","mat · maten · matene · mater","NOUN","True","食物","Vi lager mat hjemme.","我们在家做饭。","Ordbank 词头匹配"
"melk","melk","名词","A1","","NTNU LearnNoW; NorweigenLearn 当前词库","05A","5","melk · melken · — · — / melken (uncountable)","melk · melka · melken · melkene · melker","NOUN","True","牛奶","Barnet drikker melk.","孩子喝牛奶。","Ordbank 词头匹配"
"ny","ny","形容词","A1","","NTNU LearnNoW; NorweigenLearn 当前词库","05D","5","ny · nytt · nye · nyere · nyest / nytt, nye","ny · nya · nye · nyene · nyer · nyere · nyest · nyeste · nyet · nytt","ADJ","True","新的；刚来的","Hun har fått en ny jobb. / Vi kjøpte et nytt bord.","她找到了一份新工作。 / 我们买了一张新桌子。","Ordbank 词头匹配"
"pose","pose","名词","A1","en","NTNU LearnNoW; NorweigenLearn 当前词库","05C","5","en pose · posen · poser · posene / posen, poser, posene","pos · posa · pose · posede · posen · posende · posene · poser · poses · poset · posete","NOUN","True","袋子；购物袋","Vil du ha en pose? / Jeg legger varene i posen.","你要一个袋子吗？ / 我把商品放进袋子里。","Ordbank 词头匹配"
"prøve","prøve","动词","A1","å","NTNU LearnNoW; NorweigenLearn 当前词库","05D","5","prøve – prøver – prøvde – prøvd / prøver, prøvde, har prøvd","prøv · prøva · prøvd · prøvde · prøve · prøven · prøvende · prøvene · prøver · prøves","VERB","True","尝试","Jeg prøver å snakke norsk.","","Ordbank 词头匹配"
