id,lemma,display,pos,level,topic,currentZh,reviewedZh,reviewStatus,reviewerNote,reviewedOn
"名词|glede","glede","en glede","名词","待拆级","未来计划与目标","喜悦；快乐；令人高兴的事（依语境）","喜悦；快乐；令人高兴的事（依语境）","已人工审校","既可指喜悦这种感受，也可指令人高兴的事情：Det blir en glede å møte familien 是‘能见到家人会是一件令人高兴的事’。反身动词 glede seg til（期待）和 glede seg over（因……而高兴）另按对应结构学习，不要与名词 glede 混为一谈。https://ordbokene.no/bm/glede","2026-09-26"
"动词短语|glede seg","glede seg","å glede seg","动词短语","待拆级","未来计划与目标","期待；因……感到高兴（分别用 glede seg til / over）","期待；因……感到高兴（分别用 glede seg til / over）","已人工审校","这是带反身代词的固定动词短语：glede seg til + 将来的活动/时点=期待；glede seg over + 已有的人/事=为……感到高兴。Jeg gleder meg til reisen 中 jeg 对应 meg；换主语时反身代词也变，如 hun gleder seg。https://ordbokene.no/bm/glede","2026-09-26"
"名词|håp","håp","et håp","名词","待拆级","未来计划与目标","希望；盼望；有望实现的好结果","希望；盼望；有望实现的好结果","已人工审校","核心义是希望某件好事实现，也可指成功的机会或被寄予厚望的人：sette sitt håp til noen（把希望寄托在某人身上）；han er Norges håp（他是挪威的希望/夺冠希望）。中性名词不定复数与单数同形：et håp – håpet – håp – håpene。https://ordbokene.no/bm/h%C3%A5p","2026-09-26"
"名词|innsats","innsats","en innsats","名词","待拆级","未来计划与目标","努力；投入；贡献（依语境）","努力；投入；贡献（依语境）","已人工审校","描述为目标付出的努力/重要贡献时，gjøre en innsats for noe/someone 是“为……作出努力/贡献”；Med jevn innsats lærer jeg mer 表示“持续投入学习，我就能学得更多”。词典还有赌注、冒险投入等义，需由搭配判断。https://ordbokene.no/bm/innsats","2026-09-26"
"名词|karriere","karriere","en karriere","名词","待拆级","未来计划与目标","职业生涯；职业发展（马术语境另有“疾驰”义）","职业生涯；职业发展（马术语境另有“疾驰”义）","已人工审校","日常主要指一个人的职业路径/职业生涯：starte en ny karriere（开启新的职业生涯）、karriere som kunstner（艺术家职业生涯）。骑术专业语境另指一种快步/疾驰；一般学习和工作话题用职业义。阳性名词 en karriere。https://ordbokene.no/bm/karriere","2026-09-26"
"动词结构|komme til å","komme til å","å komme til å","动词结构","待拆级","未来计划与目标","将会；预计会（表达预测；另有“碰巧/得以”义）","将会；预计会（表达预测；另有“碰巧/得以”义）","已人工审校","未来义的结构是变位的 komme + til å + 动词原形：Hun kommer til å greie oppgaven（她会完成这项任务）；til å 后的主要动词用原形。过去时语境还可能表示“碰巧/得以”，如 han kom til å tenke på noe（他忽然/碰巧想到一件事），不可一律翻成将来。https://ordbokene.no/bm/komme%20til%20%C3%A5","2026-09-26"
"形容词|kreativ","kreativ","kreativ","形容词","待拆级","未来计划与目标","有创意的；善于产生并实现新想法的","有创意的；善于产生并实现新想法的","已人工审校","既可形容有新点子的人，也可形容具有创造性、能带来新意的做法或环境：en kreativ kunstner（一位有创意的艺术家）；løse oppgaven på en kreativ måte（用有创意的方法解决任务）。强调想法新颖并付诸实现。https://ordbokene.no/bm/kreativ","2026-09-26"
"名词|løsning","løsning","en løsning","名词","待拆级","未来计划与目标","解决办法；解决方案；（化学）溶液","解决办法；解决方案；（化学）溶液","已人工审校","常见日常义是问题的解决办法/答案：finne en god løsning（找到一个好办法）；化学中可指物质溶于液体形成的溶液。en løsning på et problem 中 på 引出要解决的问题；注意同一词在化学语境不是“解法”。名词可用 en/ei，本卡采用 en。https://ordbokene.no/bm/l%C3%B8sning","2026-09-26"
"副词|mer","mer","mer","副词","待拆级","未来计划与目标","更；更加；更多；（否定句中）不再/不……了","更；更加；更多；（否定句中）不再/不……了","已人工审校","此卡是副词 mer：放在动词后可表示多做一些（Jeg vil lese mer=我想多读一些）；放在形容词/副词比较级前可加强程度（mer fokusert=更加专注）。ikke … mer 表示不再。Bokmålsordboka 将 mer 列为 mye 的比较级；另一词条同时覆盖副词/限定词的用途。https://ordbokene.no/bm/mer","2026-09-26"
"名词|motivasjon","motivasjon","en motivasjon","名词","待拆级","未来计划与目标","行动意愿；动力（做某事的意愿）","行动意愿；动力（做某事的意愿）","已人工审校","指促使一个人行动的意愿或积极性，常说 motivasjon for + 活动/目标、motivasjon til å + 动词：motivasjon for langvarig skolegang（长期求学的动力）。家人给我动力的句子里是抽象名词，不是某一次“激励”。阳性名词 en motivasjon；通常抽象单数使用。https://ordbokene.no/bm/motivasjon","2026-09-26"
"形容词|motivert","motivert","motivert","形容词","待拆级","未来计划与目标","有动力的；对……有积极性的（常用 motivert for）","有动力的；对……有积极性的（常用 motivert for）","已人工审校","作表语时说明某人对某任务有意愿和动力：være motivert for oppgaven（对任务有动力）；也可用 motivert til å + 动词表达有积极性去做某事。它不表示任务本身“令人有动力”；如有需要要另用 motiverende。https://ordbokene.no/bm/%C3%A5%20motivere","2026-09-26"
"限定词/形容词|neste","neste","neste","限定词/形容词","待拆级","未来计划与目标","下一个；接下来的（按时间或顺序）","下一个；接下来的（按时间或顺序）","已人工审校","neste 修饰紧接当前之后的对象：neste stasjon（下一站）、neste uke（下周）、neste gang（下次）。当时间词搭配时，具体是哪一周/哪次由当前语境决定；不要误当成“最近的”，后者常用 nærmeste。词典将此用法列为形容词；教学上也可理解为限定名词的词。https://ordbokene.no/bm/neste","2026-09-26"
"名词|nyttår","nyttår","et nyttår","名词","待拆级","未来计划与目标","新年；岁末年初/新年时段","新年；岁末年初/新年时段","已人工审校","既可指新的一年，也可指年末到新年附近的时间；over nyttår 是“过了新年/新年之后”，mellom jul og nyttår 是“圣诞节到新年之间”。https://ordbokene.no/bm/nyttår","2026-09-25"
"介词|nær","nær","nær","介词","待拆级","未来计划与目标","靠近；距离不远（nær + 地点）","靠近；距离不远（nær + 地点）","已人工审校","在本专题的 nær byen/fjell 中表达空间距离近；还可描述关系亲密（nære venner），或作副词表示接近/几乎。虽然本词条按句中介词用法收录，词典基本条目把相关用法列在形容词和副词下。https://ordbokene.no/nno/bm/n%C3%A6r","2026-09-25"
"介词|om","om","om","介词","待拆级","未来计划与目标","关于；（时间）……后/……时（依时间表达）","关于；（时间）……后/……时（依时间表达）","已人工审校","om + 话题表示“关于”（snakke om framtida）；om + 一段时间表示“……之后”（om en uke）；om sommeren 则是“在夏天/每逢夏天”。需根据后面的词判断，不能固定只译成“关于”。https://ordbokene.no/nob/bm/42048","2026-09-25"
"时间短语|om fem år","om fem år","om fem år","时间短语","待拆级","未来计划与目标","五年后（从现在起计算）","五年后（从现在起计算）","已人工审校","om + 时间段表示从现在起过这段时间之后；om fem år = 五年后。与 for fem år siden（五年前）方向相反。例句按词典 om en uke 的时间用法扩展。https://ordbokene.no/nob/bm/42048","2026-09-25"
"动词|oppdage","oppdage","å oppdage","动词","待拆级","未来计划与目标","发现；察觉/注意到；（首次）发现某地或现象","发现；察觉/注意到；（首次）发现某地或现象","已人工审校","可指突然看见/注意到某人，也可指首次发现一个地方、自然现象或人才；按宾语判断，不局限于“发明”。https://ordbokene.no/bm/oppdage","2026-09-25"
"名词|opplevelse","opplevelse","en opplevelse","名词","待拆级","未来计划与目标","亲身经历；体验；经历的事情","亲身经历；体验；经历的事情","已人工审校","表示亲自经历的一件事或体验；与“工作经验/阅历”通常用 erfaring 表达的意思区分。名词可用 en 或 ei，本专题采用 en。https://ordbokene.no/bm/opplevelse","2026-09-25"
"动词|oppnå","oppnå","å oppnå","动词","待拆级","未来计划与目标","达到；实现","达到；实现","已人工审校","通常接目标、结果、共识或资格，表示成功达到/取得；例如 oppnå et godt resultat（取得好成绩）、oppnå enighet（达成一致）。已加入词典例句及译文。来源：https://ordbokene.no/bm/oppnå","2026-09-25"
"名词|plan","plan","en plan","名词","待拆级","未来计划与目标","计划；方案；打算/意图（依语境）","计划；方案；打算/意图（依语境）","已人工审校","本专题是 en 名词：en plan；可指执行方案，也可指对未来的打算。另有同形中性名词 plan 表示“平面/层面”，以及形容词 plan“平坦的”，词性和词形需区分。https://ordbokene.no/bm/plan","2026-09-25"
"形容词|positiv","positiv","positiv","形容词","待拆级","未来计划与目标","积极的；正面的；（检测结果）阳性的（依语境）","积极的；正面的；（检测结果）阳性的（依语境）","已人工审校","形容态度时可译积极/乐观；评价结果时可指有利、正面；医疗检测中 positiv 表示检测到了所测项目，即阳性，不代表“好消息”。另可表示数学上的正数。https://ordbokene.no/bm/positiv","2026-09-25"
"动词|prioritere","prioritere","å prioritere","动词","待拆级","未来计划与目标","优先考虑；优先处理；按优先级排列","优先考虑；优先处理；按优先级排列","已人工审校","及物动词，prioritere noe 是把某事置于其他事情之前；prioritere ned/up 分别表示降低/提高优先级。已加入“这件事应该优先处理”的词典例句。https://ordbokene.no/bm/46226","2026-09-25"
"名词|reise","reise","ei reise","名词","待拆级","未来计划与目标","一次旅行；旅程（名词；动词 å reise 表示旅行/出行）","一次旅行；旅程（名词；动词 å reise 表示旅行/出行）","已人工审校","名词表示一次较长行程/旅程，可说 dra på en/ei reise；动词 å reise 表示旅行、出发。名词 en 与 ei 两种性别均可用，变化分别是 reisen/reisa。https://ordbokene.no/bm/reise","2026-09-25"
"形容词|rolig","rolig","rolig","形容词","待拆级","未来计划与目标","平静的；安静的；从容的（依语境）","平静的；安静的；从容的（依语境）","已人工审校","描述海面/天气是平静，描述场所或声音是安静，描述人或行动是镇定、从容；作副词时也可表示平稳地/不慌不忙地。https://ordbokene.no/bm/rolig","2026-09-25"
"名词|rutine","rutine","en rutine","名词","待拆级","未来计划与目标","日常习惯；固定程序；熟练经验（依语境）","日常习惯；固定程序；熟练经验（依语境）","已人工审校","Bokmålsordboka 有三类常见义：重复的日常习惯、固定办事程序；通过练习获得的熟练/经验；机械重复的行为。fast rutine hver morgen 是每天固定的习惯，不是“工作经验”。https://ordbokene.no/nob/bm/rutine","2026-09-25"
"动词短语|se for seg","se for seg","å se for seg","动词短语","待拆级","未来计划与目标","想象；设想（在脑中形成画面或情景）","想象；设想（在脑中形成画面或情景）","已人工审校","短语义为 forestille seg（在脑中想象）；本专题的愿景语境是想象未来生活。代词随主语变化：jeg ser for meg、du ser for deg、de ser for seg。词典原例 de ser for seg en sydhavsøy 已加入语料。https://ordbokene.no/nob/bm/se%20for%20seg","2026-09-25"
"动词|skape","skape","å skape","动词","待拆级","未来计划与目标","创造；产生；造成（依语境）","创造；产生；造成（依语境）","已人工审校","既可指创造/形成某物，也可指引起某种状态或结果：skape noe nytt（创造新事物）、skape uro（引起不安）。不要只理解成艺术创作。https://ordbokene.no/nob/bm/skape","2026-09-25"
"动词|spare","spare","å spare","动词","待拆级","未来计划与目标","存钱；节省","存钱；节省","已人工审校","依宾语区分：spare penger 可表示存钱或省钱；spare tid/plass 表示节省时间/空间；spare noen for noe 表示使某人免受某事。所加例句因“在那儿购物”语境明确表示省钱。来源：https://ordbokene.no/bm/spare","2026-09-25"
"名词|suksess","suksess","en suksess","名词","待拆级","未来计划与目标","成功；顺利的结果","成功；顺利的结果","已人工审校","Bokmålsordboka 将其解释为顺利、成功的结果；既可说 boka ble en suksess（这本书很成功），也可说 ha suksess i en rolle（在某个角色/领域取得成功）。是阳性名词 en suksess。https://ordbokene.no/bm/suksess","2026-09-25"
"形容词|sunn","sunn","sunn","形容词","待拆级","未来计划与目标","健康的；有益健康的；明智/稳健的（依语境）","健康的；有益健康的；明智/稳健的（依语境）","已人工审校","描述人身体健康、食物/运动有益健康，也可表示理性明智（sunn skepsis）或稳健（sunn økonomi）。因此不能一律译成身体“健康”。https://ordbokene.no/bm/sunn","2026-09-25"
"动词|trene","trene","å trene","动词","待拆级","未来计划与目标","锻炼；训练；训练/执教某人（依结构）","锻炼；训练；训练/执教某人（依结构）","已人工审校","不带宾语或以身体为目标时常指锻炼；trene opp en evne 是训练/培养能力；trene noen、trene svømmerne 表示训练某人/运动员，也可表示担任教练。https://ordbokene.no/bm/TRENE","2026-09-25"
"形容词|tålmodig","tålmodig","tålmodig","形容词","待拆级","未来计划与目标","有耐心的；能等待或忍耐的","有耐心的；能等待或忍耐的","已人工审校","描述能平静等待、愿意容忍某事的人；常用 tålmodig med + 人/事（对……有耐心），也可 tålmodig vente（耐心等待）。词典例句已加入。https://ordbokene.no/bm/t%C3%A5lmodig","2026-09-25"
"名词|utvikling","utvikling","en utvikling","名词","待拆级","未来计划与目标","发展；变化过程；（论述）展开/说明（依语境）","发展；变化过程；（论述）展开/说明（依语境）","已人工审校","日常核心义是成长、进程或变化过程，不必然是向好发展，所以不能总译成“进步”；词典另列论述/解释义。本词性别允许 en 或 ei，定指单数可用 utviklingen 或 utviklinga。https://ordbokene.no/bm/utvikling","2026-09-25"
"名词|valg","valg","et valg","名词","待拆级","未来计划与目标","选择；（政治）选举/投票","选择；（政治）选举/投票","已人工审校","选择义指在多个可能性中取舍，常见 ta et valg、stå foran et valg；政治语境指选举/投票。中性名词 et valg，复数不定形式 valg。https://ordbokene.no/bm/valg","2026-09-25"
"名词|vennskap","vennskap","et vennskap","名词","待拆级","未来计划与目标","友谊；朋友间的良好关系","友谊；朋友间的良好关系","已人工审校","抽象名词，指成为朋友、相互善意和良好关系；不是一个“朋友”（venn）。中性名词 et vennskap，常见 vennskap mellom dem（他们之间的友谊）。https://ordbokene.no/bm/vennskap","2026-09-25"
"动词|bestå","bestå","å bestå","动词","待分级","待归类","通过考试；持续存在；由……组成（bestå av）","通过考试；持续存在；由……组成（bestå av）","已人工审校","Bokmålsordboka 分列通过考试、存在/持续、由……组成和在于……几种用法，必须连同补语记忆。词典例句 vann består av hydrogen og oksygen 已加入词汇语境。https://ordbokene.no/bm/best%C3%A5","2026-09-25"
"动词|søke","søke","å søke","动词","待分级","学习与工作","寻找；寻求；申请；前往（依结构）","寻找；寻求；申请；前往（依结构）","已人工审校","区分 søke etter（寻找）、søke hjelp（寻求帮助）、søke jobb/søke på en stilling（求职/申请职位）、søke om（申请某事）及 søke lege（去求医）。词典另列同形义“狗持续吠叫”，初级主释义不混入。https://ordbokene.no/bm/s%C3%B8ke","2026-09-25"
"名词|kjøledisk","kjøledisk","en kjøledisk","名词","A1","超市购物","冷藏展示柜；商店陈列冷藏食品的冷柜","冷藏展示柜；商店陈列冷藏食品的冷柜","已人工审校","复合词 kjøle-（冷藏）+ disk（柜台/展示台），指商店冷藏陈列设备，不是家用冰箱 kjøleskap。词典检索：https://ordbokene.no/nob/search?dict=bm%2Cnn&q=kj%C3%B8ledisk&scope=eif","2026-09-26"
"名词|kirke","kirke","ei kirke","名词","A1","城市与地点","教堂；基督教教会/团体（依语境）","教堂；基督教教会/团体（依语境）","已人工审校","可指举行基督教礼拜的建筑，也可指基督教团体；不要泛化成任何宗教的寺庙。阴性 ei kirke–kirka 与阳性 en kirke–kirken 均可用。https://ordbokene.no/bm/kirke","2026-09-26"
"名词|park","park","en park","名词","A1","城市与地点","公园；（复合词中）特定活动或设施所在区域","公园；（复合词中）特定活动或设施所在区域","已人工审校","日常指供休憩、散步或活动的公园；parkering/ parkeringsplass 才表示停车。也见于 dyrepark、nasjonalpark 等复合词。https://ordbokene.no/bm/park","2026-09-26"
"名词|gate","gate","ei gate","名词","A1","城市与方向","街；街道（城镇中通常两侧有房屋的道路）","街；街道（城镇中通常两侧有房屋的道路）","已人工审校","常见义是城镇街道；over gata 在中文可自然译作“过马路/街对面”。另有机场英语借词 gate“登机口”，需按语境区分。https://ordbokene.no/bm/gate","2026-09-26"
"名词|gågate","gågate","ei gågate","名词","A1","城市与方向","步行街；禁止或限制机动车通行、以行人为主的街道","步行街；禁止或限制机动车通行、以行人为主的街道","已人工审校","由 gå（步行）+ gate（街道）组成；车辆可完全或部分受限，不能绝对解释成所有车辆一律禁止。https://ordbokene.no/bm/g%C3%A5gate","2026-09-26"
"名词|katedral","katedral","en katedral","名词","A1","城市与文化","主教座堂；与主教相联系的主要教堂","主教座堂；与主教相联系的主要教堂","已人工审校","比一般 kirke（教堂）含义具体，指与主教相联系的主要教堂；不要把所有教堂都叫作 katedral。https://ordbokene.no/bm/katedral","2026-09-26"
"名词|katt","katt","en katt","名词","A1","宠物与动物","猫；家猫（也可泛指猫科动物）","猫；家猫（也可泛指猫科动物）","已人工审校","日常常指家猫；词本身不说明公母。定指 katten 通常指语境中已知的那只猫。https://ordbokene.no/bm/katt","2026-09-26"
"名词|bytur","bytur","en bytur","名词","A1","出行与活动","进城/到城里一趟；在城里的出行或游逛","进城/到城里一趟；在城里的出行或游逛","已人工审校","指到城里去一趟或在城里出行，不必然是购物、观光或办事；具体活动由上下文说明。https://ordbokene.no/bm/bytur","2026-09-26"
"名词|tur","tur","en tur","名词","A1","出行与活动","出行、散步或短途旅行；轮到的次序；一趟/一轮（依搭配）","出行、散步或短途旅行；轮到的次序；一趟/一轮（依搭配）","已人工审校","搭配决定意思：gå en tur（散步）、ta en tur til byen（进城一趟）、det er min tur（轮到我）。另有同形词 tur“运气”，需结合句法辨认。https://ordbokene.no/bm/tur","2026-09-26"
"名词|ovn","ovn","en ovn","名词","A1","厨房与家电","炉具；烤箱/烤炉；取暖炉（依复合词和用途）","炉具；烤箱/烤炉；取暖炉（依复合词和用途）","已人工审校","泛指加热、烹煮或烘烤用的炉具：stekeovn 是烤箱，vedovn 是柴炉；komfyr 通常指厨房炉灶，二者相关但不可随意互换。https://ordbokene.no/bm/ovn","2026-09-26"
"名词|bagett","bagett","en bagett","名词","A1","厨房与用餐","法棍；法式长棍面包","法棍；法式长棍面包","已人工审校","日常义是细长面包；词典另列宝石切工义，但初级日常语境通常指面包。https://ordbokene.no/bm/bagett","2026-09-26"
"名词|bolle","bolle","en bolle","名词","A1","厨房与用餐","碗；小圆面包/圆形烘焙食品（依搭配）","碗；小圆面包/圆形烘焙食品（依搭配）","已人工审校","已按 Bokmålsordboka 核对为阳性：en bolle–bollen–boller–bollene，不应标 ei bolle。容器义和烘焙食品义由搭配区分，如 en bolle suppe（一碗汤）、kanelbolle（肉桂小圆面包）。https://ordbokene.no/bm/bolle","2026-09-26"
"名词|gaffel","gaffel","en gaffel","名词","A1","厨房与用餐","叉子；餐叉；（器具中）叉状分叉部分","叉子；餐叉；（器具中）叉状分叉部分","已人工审校","餐桌语境指叉子/餐叉；也可指具有叉状分叉的器具部分，如自行车前叉。https://ordbokene.no/bm/gaffel","2026-09-26"
"名词|glass","glass","et glass","名词","A1","厨房与用餐","玻璃（材料）；玻璃杯；一杯饮品（依搭配）","玻璃（材料）；玻璃杯；一杯饮品（依搭配）","已人工审校","et glass 可指玻璃材料或玻璃杯；作量词时表示一杯饮料，如 et glass vann（一杯水）。由搭配和语境判断。https://ordbokene.no/bm/glass","2026-09-26"
"名词|is","is","en is","名词","A1","厨房与用餐","冰；冰块/冰层；冰淇淋或冰棒（依语境）","冰；冰块/冰层；冰淇淋或冰棒（依语境）","已人工审校","寒冷/结冰语境通常指冻结的水；甜品语境指冰淇淋或冰棒，如 spise is（吃冰淇淋）。不可只按一个中文义记。https://ordbokene.no/bm/is","2026-09-26"
"名词|kake","kake","ei kake","名词","A1","厨房与用餐","蛋糕；糕点；一份/一只蛋糕（依搭配）","蛋糕；糕点；一份/一只蛋糕（依搭配）","已人工审校","常见烘焙食品的统称；一块通常说 et stykke kake，一整只/一份要结合数量词和上下文。可用 ei kake 或 en kake。https://ordbokene.no/bm/kake","2026-09-26"
"名词|kjøkkenbenk","kjøkkenbenk","en kjøkkenbenk","名词","A1","厨房与用餐","厨房操作台；厨房台面","厨房操作台；厨房台面","已人工审校","指厨房里备餐和放置物品的固定工作台面，不是吃饭用的 spisebord（餐桌）。https://ordbokene.no/bm/kj%C3%B8kkenbenk","2026-09-26"
"名词|kniv","kniv","en kniv","名词","A1","厨房与用餐","刀；餐刀；机器中的刀刃（依用途）","刀；餐刀；机器中的刀刃（依用途）","已人工审校","kniv 是刀具通称，厨房或餐桌语境可具体指菜刀或餐刀；也可指机器上的切割刀刃。https://ordbokene.no/bm/kniv","2026-09-26"
"动词|koke","koke","å koke","动词","A1","厨房与用餐","煮；烧开；（水或其他液体）沸腾","煮；烧开；（水或其他液体）沸腾","已人工审校","区分句型：koke poteter 是煮土豆（及物）；vannet koker 是水在沸腾（不及物）；koke opp 是烧开。https://ordbokene.no/bm/koke","2026-09-26"
"名词|komfyr","komfyr","en komfyr","名词","A1","厨房与用餐","炉灶；厨房烹饪用的灶具（常含炉面和烤箱）","炉灶；厨房烹饪用的灶具（常含炉面和烤箱）","已人工审校","指厨房里用于烹饪的炉灶，常兼有炉面与烤箱；单指烤箱常用 stekeovn。https://ordbokene.no/bm/komfyr","2026-09-26"
"名词|kopp","kopp","en kopp","名词","A1","厨房与用餐","杯子；一杯的量（常用于饮品或计量）","杯子；一杯的量（常用于饮品或计量）","已人工审校","可指有把手的杯子，也可按容器所盛内容表示一杯/一份，如 en kopp kaffe（一杯咖啡）。https://ordbokene.no/bm/kopp","2026-09-26"
"名词|lunsj","lunsj","en lunsj","名词","A1","厨房与用餐","午餐；早餐与晚餐之间的一餐","午餐；早餐与晚餐之间的一餐","已人工审校","通常指一天中早餐与晚餐之间的一餐，不要求严格在正午；泛指餐次常用 spise lunsj。https://ordbokene.no/bm/lunsj","2026-09-26"
"名词|spisebord","spisebord","et spisebord","名词","A1","厨房与用餐","餐桌；吃饭用的桌子","餐桌；吃饭用的桌子","已人工审校","透明复合词 spise（吃）+ bord（桌子），指用餐的桌子；不等同于厨房备餐台 kjøkkenbenk。https://ordbokene.no/nob/search?dict=bm%2Cnn&q=spisebord&scope=eif","2026-09-26"
"名词|tallerken","tallerken","en tallerken","名词","A1","厨房与用餐","盘子；一盘的量/份（依搭配）","盘子；一盘的量/份（依搭配）","已人工审校","实体名词指盘子；en tallerken mat 可按语境指一盘饭菜/一份食物。https://ordbokene.no/bm/59713","2026-09-26"
"代词|en","en","en","代词","A1","代词与泛指","泛指一个人；人们；（面向一般人的）你","泛指一个人；人们；（面向一般人的）你","已人工审校","代词 en 用来泛指一般人，近似“人们/一个人/你”，不是男性代词，也不是名词前的冠词；同形的限定词 en 另有语法功能。https://ordbokene.no/nob/search?dict=bm%2Cnn&q=en&scope=eif","2026-09-26"
