"lemma","pos","candidateLevel","article","sourceCourses","courseUnits","firstChapter","sourceInflections","zh","exampleNb","exampleZh","levelBasis","reviewStatus"
"betale","动词","A1","å","NTNU LearnNoW; NTNU NoW1; NorweigenLearn 当前词库","02K; 05C","2","betale · betaler · betalte · betalt / betaler, betalte, har betalt","支付；付款","Kan jeg betale med kort? / Han betalte regningen i går.","我可以刷卡吗？ / 他昨天付了账单。","沿用现有词库暂标；仍待逐词核验","现有应用词条；词头/词性/等级仍待整体验收"
"billett","名词","A1","en","NTNU LearnNoW; NTNU NoW1; NorweigenLearn 当前词库","02M; 11D","2","billetten, billetter, billettene / en billett · billetten · billetter · billettene","票；车票；入场券","Jeg kjøper en billett til Oslo. / Hvor er billettene våre?","我买一张去奥斯陆的车票。 / 我们的票在哪里？","沿用现有词库暂标；仍待逐词核验","现有应用词条；词头/词性/等级仍待整体验收"
"bruke","动词","A1","å","NTNU LearnNoW; NTNU NoW1; NorweigenLearn 当前词库","02M; 07D","2","bruke · bruker · brukte · brukt / bruker, brukte, har brukt","使用；花费（时间/钱）；穿用","Jeg bruker mobilen til å lese nyheter. / Vi brukte to timer på leksene.","我用手机看新闻。 / 我们做作业花了两个小时。","沿用现有词库暂标；仍待逐词核验","现有应用词条；词头/词性/等级仍待整体验收"
"buss","名词","A1","en","NTNU LearnNoW; NTNU NoW1; NorweigenLearn 当前词库","02A; 09A","2","bussen, busser, bussene / en buss · bussen · busser · bussene","公共汽车；公交车","Vi tar bussen til sentrum. / Bussen kommer om fem minutter.","我们坐公交去市中心。 / 公交车五分钟后到。","沿用现有词库暂标；仍待逐词核验","现有应用词条；词头/词性/等级仍待整体验收"
"bussjåfør","名词","A1","en","NTNU LearnNoW; NTNU NoW1; NorweigenLearn 当前词库","02A; 09A","2","bussjåføren,bussjåfører, bussjåførene / en bussjåfør · bussjåføren · bussjåfører · bussjåførene","公交车司机；巴士司机","Bussjåføren åpner døra. / Jeg spør bussjåføren om holdeplassen.","公交车司机打开了车门。 / 我向公交车司机打听下车站点。","沿用现有词库暂标；仍待逐词核验","现有应用词条；词头/词性/等级仍待整体验收"
"bytte","动词","A1","å","NTNU LearnNoW; NTNU NoW1; NorweigenLearn 当前词库","02M; 03D","2","bytte · bytter · byttet · byttet / bytter, byttet, har byttet","换；更换；转乘","Du må bytte buss på stasjonen. / Jeg byttet den for store jakka.","你需要在车站换乘公交车。 / 我把那件太大的夹克换掉了。","沿用现有词库暂标；仍待逐词核验","现有应用词条；词头/词性/等级仍待整体验收"
"dra","动词","A1","å","NTNU LearnNoW; NTNU NoW1; NorweigenLearn 当前词库","02D; 02K; 07B","2","dra · drar · dro · dratt / drar, dro, har dratt","去；出发；离开；拉/拽（依语境）","Vi drar til legen etter lunsj. / Hun dro hjem tidlig.","我们午饭后去看医生。 / 她很早就回家了。","沿用现有词库暂标；仍待逐词核验","现有应用词条；词头/词性/等级仍待整体验收"
"drikke","动词","A1","å","NTNU LearnNoW; NTNU NoW1; NorweigenLearn 当前词库","02P; 04A","2","drikke · drikker · drakk · drukket / drikker, drakk, har drukket","喝；饮用","Hun drikker et glass vann. / Vi drakk kaffe etter maten.","她喝一杯水。 / 我们饭后喝了咖啡。","沿用现有词库暂标；仍待逐词核验","现有应用词条；词头/词性/等级仍待整体验收"
"ettermiddag","名词","A1","en","NTNU LearnNoW; NTNU NoW1; NorweigenLearn 当前词库","02P; 03C","2","en ettermiddag · ettermiddagen · ettermiddager · ettermiddagene / ettermiddagen, ettermiddager, ettermiddagene","下午；午后","Jeg henter barna i ettermiddag. / Vi drikker kaffe sammen om ettermiddagen.","我今天下午去接孩子。 / 我们常在下午一起喝咖啡。","沿用现有词库暂标；仍待逐词核验","现有应用词条；词头/词性/等级仍待整体验收"
"få","动词","A1","å","NTNU LearnNoW; NTNU NoW1; NorweigenLearn 当前词库","02M; 04C; 08A","2","få · får · fikk · fått / får, fikk, har fått","得到；收到；可以/被允许；让（依结构）","Jeg fikk en melding fra henne. / Kan jeg få sitte her?","我收到她的一条消息。 / 我可以坐在这里吗？","沿用现有词库暂标；仍待逐词核验","现有应用词条；词头/词性/等级仍待整体验收"
"finne","动词","A1","å","NTNU LearnNoW; NTNU NoW1; NorweigenLearn 当前词库","02M; 03A; 09A; 12D","2","finne · finner · fant · funnet / finner, fant, har funnet","找到；发现；认为（synes/finne at）","Jeg finner ikke nøklene mine. / De fant en god løsning.","我找不到我的钥匙。 / 他们找到一个好办法。","沿用现有词库暂标；仍待逐词核验","现有应用词条；词头/词性/等级仍待整体验收"
"flytte","动词","A1","å","NTNU LearnNoW; NTNU NoW1; NorweigenLearn 当前词库","02C; 08B","2","flytte · flytter · flyttet · flyttet / flytter, flyttet, har flyttet","搬家；搬动；移动","Vi flytter til en større leilighet i juni. / Han flyttet sofaen nærmere vinduet.","我们六月搬到一套更大的公寓。 / 他把沙发挪得更靠近窗户。","沿用现有词库暂标；仍待逐词核验","现有应用词条；词头/词性/等级仍待整体验收"
"gå","动词","A1","å","NTNU LearnNoW; NTNU NoW1; NorweigenLearn 当前词库","02A; 02D; 07B; 08A","2","gå · går · gikk · gått / går, gikk, har gått","走；步行；去；进行（依语境）","Vi går til butikken. / Kurset gikk veldig bra.","我们步行去商店。 / 课程进行得很顺利。","沿用现有词库暂标；仍待逐词核验","现有应用词条；词头/词性/等级仍待整体验收"
"gutt","名词","A1","en","NTNU LearnNoW; NTNU NoW1; NorweigenLearn 当前词库","02B; 06A","2","en gutt · gutten · gutter · guttene / gutten, gutter, guttene","男孩","Gutten leker i hagen. / To gutter venter på bussen.","男孩在花园里玩。 / 两个男孩在等公交车。","沿用现有词库暂标；仍待逐词核验","现有应用词条；词头/词性/等级仍待整体验收"
"hjelp","名词","A1","en","NTNU LearnNoW; NTNU NoW1; NorweigenLearn 当前词库","02A; 04C","2","hjelp · hjelpa · hjelpen / hjelpen, hjelper, hjelpene","帮助；援助；帮忙","Kan du hjelpe meg? Jeg trenger hjelp. / Takk for hjelpen!","你能帮帮我吗？我需要帮助。 / 谢谢你的帮助！","沿用现有词库暂标；仍待逐词核验","现有应用词条；词头/词性/等级仍待整体验收"
"hjelpe","动词","A1","å","NTNU LearnNoW; NTNU NoW1; NorweigenLearn 当前词库","02A; 03B","2","hjelpe · hjelper · hjalp · hjulpet / hjelper, hjalp, har hjulpet","帮助；帮忙","Kan du hjelpe meg med maten? / Naboen hjalp oss i går.","你能帮我准备食物吗？ / 邻居昨天帮了我们。","沿用现有词库暂标；仍待逐词核验","现有应用词条；词头/词性/等级仍待整体验收"
"hjem","名词","A1","et","NTNU LearnNoW; NTNU NoW1; NorweigenLearn 当前词库","02D; 07B","2","et hjem · hjemmet · hjem · hjemmene / hjemmet, hjem, hjemmene","家；住所（强调归属感的家）","Vi ønsker oss et rolig hjem. / Barna kom hjem etter skolen.","我们希望有一个安宁的家。 / 孩子们放学后回家了。","沿用现有词库暂标；仍待逐词核验","现有应用词条；词头/词性/等级仍待整体验收"
"kafé","名词","A1","en","NTNU LearnNoW; NTNU NoW1; NorweigenLearn 当前词库","02B; 02P","2","en kafé · kaféen · kafeer · kafeene / kafeen, kafeer, kafeene","咖啡馆；小餐馆（通常可买饮料和简餐）","Vi møtes på en kafé etter kurset. / Kaféen åpner klokka åtte.","我们下课后在一家咖啡馆见面。 / 咖啡馆八点开门。","沿用现有词库暂标；仍待逐词核验","现有应用词条；词头/词性/等级仍待整体验收"
"kaffe","名词","A1","en","NTNU LearnNoW; NTNU NoW1; NorweigenLearn 当前词库","02P; 04A","2","en kaffe · kaffen · kaffer · kaffene / kaffen, kaffer, kaffene","咖啡；一杯咖啡（点单语境）","Jeg drikker kaffe om morgenen. / Kan jeg få en kaffe, takk?","我早上喝咖啡。 / 请给我一杯咖啡好吗？","沿用现有词库暂标；仍待逐词核验","现有应用词条；词头/词性/等级仍待整体验收"
"kjøpe","动词","A1","å","NTNU LearnNoW; NTNU NoW1; NorweigenLearn 当前词库","02P; 03C","2","kjøpe · kjøper · kjøpte · kjøpt / kjøper, kjøpte, har kjøpt","买；购买","Jeg kjøper melk på butikken. / De kjøpte en brukt bil i fjor.","我在商店买牛奶。 / 他们去年买了一辆二手车。","沿用现有词库暂标；仍待逐词核验","现有应用词条；词头/词性/等级仍待整体验收"
"kjøpesenter","名词","A1","et","NTNU LearnNoW; NTNU NoW1; NorweigenLearn 当前词库","02P; 06A","2","et kjøpesenter · kjøpesenteret · kjøpesentre · kjøpesentrene / kjøpesenteret, kjøpesentre, kjøpesentrene","购物中心；商场","Vi handler på kjøpesenteret på lørdag. / Byen har to kjøpesentre.","我们星期六去商场购物。 / 这座城市有两个购物中心。","沿用现有词库暂标；仍待逐词核验","现有应用词条；词头/词性/等级仍待整体验收"
"kjøre","动词","A1","å","NTNU LearnNoW; NTNU NoW1; NorweigenLearn 当前词库","02D; 02K","2","kjøre · kjører · kjørte · kjørt / kjører, kjørte, har kjørt","开车；驾驶；乘车/行驶","Hun kjører barna til skolen. / Vi kjørte hjem etter besøket.","她开车送孩子们去学校。 / 探访结束后我们开车回家了。","沿用现有词库暂标；仍待逐词核验","现有应用词条；词头/词性/等级仍待整体验收"
"kopp","名词","A1","en","NTNU LearnNoW; NTNU NoW1; NorweigenLearn 当前词库","02P; 05A","2","en kopp · koppen · kopper · koppene / koppen, kopper, koppene","杯子；一杯","Vil du ha en kopp te? / Koppene står i skapet.","你想喝一杯茶吗？ / 杯子在柜子里。","沿用现有词库暂标；仍待逐词核验","现有应用词条；词头/词性/等级仍待整体验收"
"kort","名词","A1","et","NTNU LearnNoW; NTNU NoW1; NorweigenLearn 当前词库","02A; 06D","2","et kort · kortet · kort · kortene / kortet, kort, kortene","卡片；银行卡；短笺/贺卡（依语境）","Kan jeg betale med kort? / Hun sender et kort til bestemor.","我可以刷卡吗？ / 她给奶奶寄了一张卡片。","沿用现有词库暂标；仍待逐词核验","现有应用词条；词头/词性/等级仍待整体验收"
"kunne","动词","A1","å","NTNU LearnNoW; NTNU NoW1; NorweigenLearn 当前词库","02K; 03B","2","kan, kunne, har kunnet / kunne · kan · kunne · kunnet","能；会；可以（能力、可能性或委婉请求）","Jeg kan snakke litt norsk. / Kunne du åpne vinduet?","我会说一点挪威语。 / 你能帮忙打开窗户吗？","沿用现有词库暂标；仍待逐词核验","现有应用词条；词头/词性/等级仍待整体验收"
"år","名词","A1","et","NTNU LearnNoW; NorweigenLearn 当前词库","02A","2","året, år, årene / et år · året · år · årene","年；一年","Sønnen min er fem år. / Vi flyttet hit for tre år siden.","我儿子五岁。 / 我们三年前搬到这里。","沿用现有词库暂标；仍待逐词核验","现有应用词条；词头/词性/等级仍待整体验收"
"bagasje","名词","A1","en","NTNU NoW1; NorweigenLearn 当前词库","02K","2","bagasje · bagasjen","行李；随身/托运行李的总称","Har du bare håndbagasje? / Bagasjen kommer snart på båndet.","你只有随身行李吗？ / 行李很快会出现在传送带上。","沿用现有词库暂标；仍待逐词核验","现有应用词条；词头/词性/等级仍待整体验收"
"bare","副词","A1","","NTNU LearnNoW; NorweigenLearn 当前词库","02D","2","bare","只；仅仅；只是；刚刚（依语境）","Jeg har bare fem minutter. / Hun vil bare hjelpe.","我只有五分钟。 / 她只是想帮忙。","沿用现有词库暂标；仍待逐词核验","现有应用词条；词头/词性/等级仍待整体验收"
"bety","动词","A1","å","NTNU NoW1; NorweigenLearn 当前词库","02M","2","bety · betyr · betydde · betydd","意思是；意味着；表示","Hva betyr dette skiltet? / Familien betyr mye for henne.","这个标志是什么意思？ / 家庭对她来说很重要。","沿用现有词库暂标；仍待逐词核验","现有应用词条；词头/词性/等级仍待整体验收"
"bra","形容词","A1","","NTNU LearnNoW; NorweigenLearn 当前词库","02C","2","bra · bedre · best / beste / bra, bra","好；不错；良好地","Det går bra med norsken min. / Denne boka er bedre enn den første.","我的挪威语进展不错。 / 这本书比第一本更好。","沿用现有词库暂标；仍待逐词核验","现有应用词条；词头/词性/等级仍待整体验收"
"bussrute","名词","A1","ei","NTNU NoW1; NorweigenLearn 当前词库","02M","2","ei bussrute · bussruta · bussruter · bussrutene","公交线路；公交车路线/班次表","Hvilken bussrute går til sentrum? / Bussruta endres i helgene.","哪条公交线路去市中心？ / 公交线路在周末会调整。","沿用现有词库暂标；仍待逐词核验","现有应用词条；词头/词性/等级仍待整体验收"
"busstur","名词","A1","en","NTNU NoW1; NorweigenLearn 当前词库","02A","2","en busstur · bussturen · bussturer · bussturene","公交车程；乘公交的一趟行程","Det er en lang busstur til hytta. / Barna liker bussturer.","坐公交去小木屋要很久。 / 孩子们喜欢坐公交出行。","沿用现有词库暂标；仍待逐词核验","现有应用词条；词头/词性/等级仍待整体验收"
"flybuss","名词","A1","en","NTNU NoW1; NorweigenLearn 当前词库","02A","2","en flybuss · flybussen · flybusser · flybussene","机场巴士；往返机场的公交车","Vi tar flybussen til sentrum. / Flybussen stopper utenfor terminalen.","我们坐机场巴士去市中心。 / 机场巴士在航站楼外停靠。","沿用现有词库暂标；仍待逐词核验","现有应用词条；词头/词性/等级仍待整体验收"
"fransk","形容词","A1","","NTNU LearnNoW; NorweigenLearn 当前词库","02B","2","fransk · franske / fransk, franske","法国的；法语的；法语（语言名用法）","Hun snakker fransk med naboen. / Vi spiste på en fransk restaurant.","她用法语和邻居交谈。 / 我们在一家法国餐厅吃饭。","沿用现有词库暂标；仍待逐词核验","现有应用词条；词头/词性/等级仍待整体验收"
"gammel","形容词","A1","","NTNU LearnNoW; NorweigenLearn 当前词库","02A","2","gammel · gammelt · gamle · eldre · eldst / eldste / gammelt, gamle","旧的；年老的","Jeg bor i et gammelt hus. / Han er eldre enn broren sin.","我住在一栋老房子里。 / 他比自己的兄弟年长。","沿用现有词库暂标；仍待逐词核验","现有应用词条；词头/词性/等级仍待整体验收"
"gift","形容词","A1","","NTNU LearnNoW; NorweigenLearn 当前词库","02B","2","gift · gift · gifte / gift, gifte","已婚的；婚姻关系中的","Hun er gift med en nordmann. / De har vært gift i ti år.","她和一位挪威人结婚了。 / 他们结婚十年了。","沿用现有词库暂标；仍待逐词核验","现有应用词条；词头/词性/等级仍待整体验收"
"her","副词","A1","","NTNU LearnNoW; NorweigenLearn 当前词库","02B","2","her","这里；在这里；此处","Vi bor her i Oslo. / Kan du vente her litt?","我们就住在奥斯陆这里。 / 你能在这里等一会儿吗？","沿用现有词库暂标；仍待逐词核验","现有应用词条；词头/词性/等级仍待整体验收"
"i","介词","A1","","NTNU LearnNoW; NorweigenLearn 当前词库","02A","2","i","在……里；在……（地点、时间或范围）","Barna leker i hagen. / Vi skal møtes i morgen.","孩子们在花园里玩。 / 我们明天要见面。","沿用现有词库暂标；仍待逐词核验","现有应用词条；词头/词性/等级仍待整体验收"
